CustomerID,Age,Gender,Income,Region,AvgSpending,PurchaseFrequency,FavoriteBrand,PreferredStyle,ShoppingMethod,SustainabilityConcern,CustomizationInterest,BrandLoyaltyScore,DiscountSensitivity,PurchaseTimeOfDay,MarketTrendInterest,CompetitorPriceSensitivity,ProductID,ProductName,ProductCategory,ProductBrand,ProductPrice,ProductMaterial,ProductStyle,ProductDimensions,ProductDescription,PurchaseDate,QuantityPurchased,CompetitorPrice,CompetitorBrand,DataSource
1001,45,Male,51965.71,South,622.68,Quarterly,Target,Bohemian,Both,Low,No,1,Medium,Morning,"Sustainable,Smart Homes",Medium,5001,Wall Art,Lighting,Wayfair,1295.06,Metal,Industrial,30x30x10 inches,Compact and space-saving,2024-01-01,3,666.29,Target,Web Analytics
1002,36,Male,40286.22,West,535.31,Monthly,West Elm,Industrial,In-Store,Medium,Yes,5,Medium,Evening,"Customization,Handmade",Low,5002,Wall Art,Textiles,West Elm,327.63,Wood,Minimalist,24x18x15 inches,A stylish addition to any room,2024-01-02,4,1368.56,West Elm,Survey
1003,44,Other,78000.43,North,755.95,Weekly,Wayfair,Modern,In-Store,Low,Yes,7,High,Morning,"Sustainable,Smart Homes",Medium,5003,Chair,Wall Decor,Target,1266.73,Metal,Bohemian,12x12x20 inches,A stylish addition to any room,2024-01-03,2,1896.22,Target,Web Analytics
1004,65,Male,107219.57,East,497.22,Monthly,Williams-Sonoma,Minimalist,Both,High,Yes,4,Low,Evening,"Customization,Handmade",High,5004,Curtains,Lighting,IKEA,1153.97,Metal,Minimalist,12x12x20 inches,A stylish addition to any room,2024-01-04,4,1138.68,IKEA,Survey
1005,69,Male,96307.52,East,404.78,Quarterly,Target,Bohemian,Both,Medium,No,9,Medium,Evening,"Customization,Handmade",Medium,5005,Sofa Set,Textiles,Williams-Sonoma,1124.53,Fabric,Industrial,12x12x20 inches,Durable and eco-friendly,2024-01-05,1,806.35,Target,Survey
1006,36,Female,49404.82,North,364.13,Quarterly,Target,Rustic,In-Store,High,No,6,Medium,Afternoon,"Customization,Handmade",Low,5006,Wall Art,Lighting,Target,1655.57,Wood,Modern,12x12x20 inches,Compact and space-saving,2024-01-06,1,551.18,Williams-Sonoma,Web Analytics
1007,50,Female,65936.93,East,290.32,Monthly,West Elm,Modern,Both,High,No,6,Low,Afternoon,"Minimalist,Scandinavian,Biophilic",High,5007,Sofa Set,Textiles,Target,384.11,Wood,Minimalist,24x18x15 inches,Compact and space-saving,2024-01-07,4,1869.41,Wayfair,Survey
1008,68,Other,75710.48,North,339.17,Weekly,Williams-Sonoma,Modern,Both,High,No,3,Low,Evening,"Customization,Handmade",High,5008,Rug,Furniture,Williams-Sonoma,1508.1,Wood,Modern,24x18x15 inches,Compact and space-saving,2024-01-08,3,1370.51,Wayfair,Web Analytics
1009,24,Other,102918.53,West,185.35,Weekly,Williams-Sonoma,Minimalist,Both,Medium,No,10,High,Morning,"Minimalist,Scandinavian,Biophilic",Low,5009,Dining Table,Textiles,Wayfair,1526.63,Metal,Modern,12x12x20 inches,A stylish addition to any room,2024-01-09,1,1337.26,Williams-Sonoma,Web Analytics
1010,46,Other,105520.94,East,412.17,Quarterly,West Elm,Bohemian,In-Store,High,Yes,10,High,Afternoon,"Minimalist,Scandinavian,Biophilic",Low,5010,Sofa Set,Furniture,Williams-Sonoma,1450.84,Glass,Minimalist,12x12x20 inches,Durable and eco-friendly,2024-01-10,4,863.79,IKEA,Survey
1011,60,Other,111874.65,East,132.91,Quarterly,IKEA,Modern,Online,High,Yes,5,Medium,Afternoon,"Customization,Handmade",High,5011,Sofa Set,Textiles,Target,1021.82,Metal,Bohemian,12x12x20 inches,Durable and eco-friendly,2024-01-11,3,1693.2,Wayfair,Survey
1012,22,Female,75832.07,North,267.77,Monthly,Williams-Sonoma,Bohemian,Both,Medium,Yes,10,High,Evening,"Minimalist,Scandinavian,Biophilic",Medium,5012,Rug,Wall Decor,West Elm,803.17,Plastic,Bohemian,30x30x10 inches,A stylish addition to any room,2024-01-12,2,1433.07,Williams-Sonoma,Web Analytics
1013,47,Male,92484.73,North,772.09,Monthly,IKEA,Bohemian,In-Store,Low,No,6,Medium,Evening,"Minimalist,Scandinavian,Biophilic",Low,5013,Chair,Textiles,Wayfair,801.46,Fabric,Minimalist,30x30x10 inches,Durable and eco-friendly,2024-01-13,3,580.7,Wayfair,CRM
1014,66,Female,40062.03,West,392.92,Monthly,IKEA,Modern,Online,High,Yes,4,High,Afternoon,"Minimalist,Scandinavian,Biophilic",High,5014,Lamp,Furniture,Williams-Sonoma,1472.94,Wood,Bohemian,30x30x10 inches,Durable and eco-friendly,2024-01-14,1,1207.17,Target,Survey
1015,60,Other,80876.01,North,701.41,Weekly,Target,Bohemian,In-Store,Low,No,3,Low,Morning,"Sustainable,Smart Homes",Low,5015,Bookshelf,Wall Decor,IKEA,1005.84,Plastic,Rustic,12x12x20 inches,Compact and space-saving,2024-01-15,3,871.78,Wayfair,Survey
1016,25,Other,52382.26,North,745.2,Weekly,Target,Minimalist,In-Store,Low,No,5,High,Afternoon,"Customization,Handmade",Medium,5016,Curtains,Textiles,Williams-Sonoma,690.1,Plastic,Modern,30x30x10 inches,A stylish addition to any room,2024-01-16,3,33.05,Target,CRM
1017,59,Female,68854.52,West,623.07,Quarterly,Wayfair,Modern,In-Store,Low,No,7,Medium,Evening,"Minimalist,Scandinavian,Biophilic",Medium,5017,Chair,Textiles,Target,1258.43,Glass,Minimalist,24x18x15 inches,A stylish addition to any room,2024-01-17,2,1619.09,Target,CRM
1018,29,Female,87064.55,South,962.83,Quarterly,Target,Minimalist,Online,Low,No,6,High,Afternoon,"Customization,Handmade",High,5018,Lamp,Lighting,Target,1677.28,Wood,Industrial,30x30x10 inches,A stylish addition to any room,2024-01-18,4,263.2,Wayfair,Survey
1019,59,Other,53128.73,South,119.3,Quarterly,Williams-Sonoma,Minimalist,In-Store,Low,No,2,Medium,Evening,"Minimalist,Scandinavian,Biophilic",Medium,5019,Lamp,Wall Decor,IKEA,141.79,Metal,Minimalist,12x12x20 inches,A stylish addition to any room,2024-01-19,3,1029.71,Wayfair,Survey
1020,30,Male,34696.66,North,764.79,Monthly,Williams-Sonoma,Bohemian,Online,Low,No,1,Medium,Afternoon,"Customization,Handmade",Medium,5020,Curtains,Furniture,Wayfair,1944.83,Wood,Minimalist,24x18x15 inches,Compact and space-saving,2024-01-20,2,685.73,Target,Survey
1021,43,Other,30921.05,West,962.91,Weekly,IKEA,Bohemian,Both,Medium,Yes,5,High,Evening,"Minimalist,Scandinavian,Biophilic",Medium,5021,Chair,Wall Decor,Target,211.37,Fabric,Modern,12x12x20 inches,Durable and eco-friendly,2024-01-21,1,697.34,Wayfair,CRM
1022,35,Female,31994.36,South,876.04,Quarterly,Williams-Sonoma,Modern,Online,Medium,No,5,High,Evening,"Sustainable,Smart Homes",Low,5022,Chair,Furniture,Wayfair,1033.24,Wood,Industrial,24x18x15 inches,Durable and eco-friendly,2024-01-22,4,965.18,IKEA,Survey
1023,59,Other,30751.48,West,251.1,Quarterly,Target,Rustic,In-Store,Low,Yes,6,Medium,Morning,"Sustainable,Smart Homes",High,5023,Curtains,Lighting,Wayfair,1129.21,Plastic,Modern,30x30x10 inches,Compact and space-saving,2024-01-23,1,1994.11,West Elm,CRM
